Comp_date  Comp_time	Event	Pico_time[ms]	ADC_value[0-65535]	SiPM[mV]	Temp[deg]	Pres[Pa]	Deadtime[ms]
2021-01-01 00:00:52	287	43465	25830	25830000	25.47	75025.78	0
2021-01-01 00:00:52	288	43501	28967	28967000	25.47	75025.78	0
2021-01-01 00:00:52	289	43713	25846	25846000	25.47	75026.28	0
2021-01-01 00:00:53	290	44221	28630	28630000	25.47	75026.63	0
2021-01-01 00:00:53	291	44224	29687	29687000	25.47	75026.63	0
2021-01-01 00:00:53	292	44245	25670	25670000	25.47	75026.63	0
2021-01-01 00:00:53	293	44532	26022	26022000	25.47	75026.02	0
2021-01-01 00:00:53	294	44757	25446	25446000	25.47	75025.84	0
2021-01-01 00:00:53	295	44955	26582	26582000	25.47	75026.02	0
2021-01-01 00:00:54	296	45024	26758	26758000	25.47	75026.02	0
2021-01-01 00:00:54	297	45086	26950	26950000	25.47	75026.02	0
2021-01-01 00:00:54	298	45306	26662	26662000	25.47	75026.67	0
2021-01-01 00:00:54	299	45823	29591	29591000	25.47	75027.61	0
2021-01-01 00:00:54	300	45835	25798	25798000	25.47	75027.61	0
2021-01-01 00:00:55	301	46043	26406	26406000	25.47	75026.78	0
2021-01-01 00:00:55	302	46049	26902	26902000	25.47	75026.78	0
2021-01-01 00:00:55	303	46608	25606	25606000	25.47	75026.61	0
2021-01-01 00:00:56	304	47567	26182	26182000	25.47	75026.28	0
2021-01-01 00:00:56	305	47589	25686	25686000	25.47	75026.28	0
2021-01-01 00:00:56	306	47593	26374	26374000	25.47	75026.28	0
2021-01-01 00:00:56	307	47929	26326	26326000	25.47	75026.91	0
2021-01-01 00:00:56	308	47970	26966	26966000	25.47	75026.91	0
2021-01-01 00:00:57	309	48089	25750	25750000	25.47	75026.91	0
2021-01-01 00:00:57	310	48277	26678	26678000	25.47	75027.23	0
2021-01-01 00:00:57	311	48384	27158	27158000	25.47	75027.23	0
2021-01-01 00:00:57	312	48388	29879	29879000	25.47	75027.23	0
2021-01-01 00:00:57	313	48451	25462	25462000	25.47	75027.73	0
2021-01-01 00:00:57	314	48739	25158	25158000	25.48	75028.05	0
2021-01-01 00:00:57	315	48749	26502	26502000	25.48	75028.05	0
2021-01-01 00:00:57	316	48841	26278	26278000	25.48	75028.05	0
2021-01-01 00:00:58	317	49060	25014	25014000	25.47	75026.91	0
2021-01-01 00:00:58	318	49108	25942	25942000	25.47	75026.91	0
2021-01-01 00:00:58	319	49316	25958	25958000	25.47	75026.91	0
2021-01-01 00:00:58	320	49776	26886	26886000	25.47	75026.95	0
2021-01-01 00:00:58	321	49777	25574	25574000	25.47	75026.95	0
2021-01-01 00:00:58	322	49834	25398	25398000	25.47	75026.95	0
2021-01-01 00:00:59	323	50549	26198	26198000	25.46	75025.87	0
2021-01-01 00:00:59	324	50714	25526	25526000	25.46	75026.03	0
2021-01-01 00:00:59	325	50719	28486	28486000	25.46	75026.03	0
2021-01-01 00:00:59	326	50723	25446	25446000	25.46	75026.03	0
2021-01-01 00:00:59	327	50790	27334	27334000	25.46	75026.03	0
2021-01-01 00:01:00	328	51090	26182	26182000	25.46	75026.2	0
2021-01-01 00:01:00	329	51541	29975	29975000	25.46	75025.88	0
2021-01-01 00:01:00	330	51984	27094	27094000	25.46	75025.55	0
2021-01-01 00:01:00	331	51997	26262	26262000	25.46	75025.55	0
2021-01-01 00:01:00	332	52015	28278	28278000	25.46	75025.55	0
2021-01-01 00:01:01	333	52024	25542	25542000	25.46	75025.55	0
2021-01-01 00:01:01	334	52097	26022	26022000	25.46	75025.55	0
2021-01-01 00:01:01	335	52847	28086	28086000	25.46	75025.43	0
2021-01-01 00:01:02	336	53058	28246	28246000	25.46	75024.95	0
2021-01-01 00:01:02	337	53448	25622	25622000	25.46	75024.79	0
2021-01-01 00:01:02	338	53469	28743	28743000	25.46	75024.79	0
2021-01-01 00:01:02	339	53575	29063	29063000	25.45	75024.5	0
2021-01-01 00:01:02	340	53612	25990	25990000	25.45	75024.5	0
2021-01-01 00:01:02	341	53781	25894	25894000	25.45	75024.5	0
2021-01-01 00:01:02	342	53824	26726	26726000	25.45	75024.5	0
2021-01-01 00:01:02	343	53882	26502	26502000	25.45	75024.18	0
2021-01-01 00:01:02	344	54010	25990	25990000	25.45	75024.18	0
2021-01-01 00:01:03	345	54124	28134	28134000	25.45	75024.18	0
2021-01-01 00:01:03	346	54244	27222	27222000	25.45	75024.73	0
2021-01-01 00:01:03	347	54612	28054	28054000	25.45	75025.24	0
2021-01-01 00:01:03	348	54719	25126	25126000	25.45	75025.24	0
2021-01-01 00:01:03	349	54738	25510	25510000	25.45	75025.24	0
2021-01-01 00:01:03	350	54903	25030	25030000	25.44	75025.79	0
2021-01-01 00:01:03	351	54931	26470	26470000	25.44	75025.79	0
2021-01-01 00:01:03	352	54951	30647	30647000	25.44	75025.79	0
2021-01-01 00:01:04	353	55103	27142	27142000	25.44	75025.79	0
2021-01-01 00:01:04	354	55141	26038	26038000	25.44	75025.79	0
2021-01-01 00:01:04	355	55271	27126	27126000	25.44	75025.31	0
2021-01-01 00:01:04	356	55732	29639	29639000	25.44	75026.14	0
2021-01-01 00:01:05	357	56032	26278	26278000	25.44	75026.95	0
2021-01-01 00:01:05	358	56340	28102	28102000	25.44	75026.45	0
2021-01-01 00:01:05	359	56518	25254	25254000	25.44	75026.63	0
2021-01-01 00:01:05	360	56554	25606	25606000	25.44	75026.63	0
2021-01-01 00:01:05	361	56607	32023	32023000	25.44	75026.63	0
2021-01-01 00:01:05	362	56715	25254	25254000	25.44	75026.63	0
2021-01-01 00:01:05	363	56739	29383	29383000	25.44	75026.63	0
2021-01-01 00:01:05	364	57011	28807	28807000	25.44	75026.35	0
2021-01-01 00:01:06	365	57328	29383	29383000	25.43	75026.04	0
2021-01-01 00:01:06	366	57340	26534	26534000	25.43	75026.04	0
2021-01-01 00:01:06	367	57404	25926	25926000	25.43	75026.04	0
2021-01-01 00:01:06	368	57414	27990	27990000	25.43	75026.04	0
2021-01-01 00:01:06	369	57514	25862	25862000	25.43	75026.53	0
2021-01-01 00:01:06	370	57574	26534	26534000	25.43	75026.53	0
2021-01-01 00:01:06	371	57606	26886	26886000	25.43	75026.53	0
2021-01-01 00:01:06	372	57613	30023	30023000	25.43	75026.53	0
2021-01-01 00:01:06	373	57658	25654	25654000	25.43	75026.53	0
2021-01-01 00:01:06	374	57864	25222	25222000	25.43	75025.11	0
2021-01-01 00:01:07	375	58164	25510	25510000	25.43	75025.11	0
2021-01-01 00:01:07	376	58189	25750	25750000	25.43	75025.11	0
2021-01-01 00:01:07	377	58501	25542	25542000	25.43	75024.3	0
2021-01-01 00:01:08	378	59236	25382	25382000	25.43	75024.3	0
